number,name,red,green,blue,hex,similar
704,Chartreuse - Bright,158.0,207.0,52.0,9ecf34,"['581', '166', '906', '470', '733', '703', '3012', '729', '832', '732']"
712,Cream,255.0,251.0,239.0,fffbef,"['746', '3866', '3865', 'White', '3823', '819', 'B5200', '3770', '3756', '762']"
718,Plum,156.0,36.0,98.0,9c2462,"['917', '3803', '777', '3831', '552', '326', '3721', '3350', '150', '221']"
720,Orange Spice - Dark,229.0,92.0,31.0,e55c1f,"['922', '946', '900', '921', '608', '3776', '350', '721', '971', '301']"
721,Orange Spice - Medium,242.0,120.0,66.0,f27842,"['947', '3853', '608', '922', '3776', '351', '720', '977', '3328', '3340']"
722,Orange Spice - Light,247.0,151.0,111.0,f7976f,"['402', '3340', '3854', '3712', '3778', '962', '728', '956', '3827', '977']"
724,Winnie The Pooh Gold,,,,,
725,Topaz,255.0,200.0,64.0,ffc840,"['742', '726', '307', '741', '972', '3820', '3854', '3853', '728', '3821']"
726,Topaz - Light,253.0,215.0,85.0,fdd755,"['307', '742', '725', '743', '3821', '3819', '3827', '3854', '3820', '728']"
727,Topaz - Very Light,255.0,241.0,175.0,fff1af,"['745', '165', '739', '744', '677', '3856', '945', '3078', '3822', '951']"
728,Golden Yellow,228.0,180.0,104.0,e4b468,"['3820', '3854', '3827', '834', '402', '833', '977', '3821', '742', '734']"
729,Old Gold - Medium,208.0,165.0,62.0,d0a53e,"['3852', '733', '977', '832', '436', '783', '3853', '166', '976', '3820']"
730,Olive Green - Very Dark,130.0,123.0,48.0,827b30,"['580', '469', '731', '829', '732', '830', '869', '3862', '937', '905']"
731,Olive Green - Dark,147.0,139.0,55.0,938b37,"['732', '580', '730', '830', '167', '420', '469', '3011', '3826', '611']"
732,Olive Green,148.0,140.0,54.0,948c36,"['731', '580', '730', '830', '167', '420', '469', '3011', '3826', '611']"
733,Olive Green - Medium,188.0,179.0,76.0,bcb34c,"['166', '832', '729', '581', '3012', '370', '3852', '833', '436', '371']"
734,Olive Green - Light,199.0,192.0,119.0,c7c077,"['372', '3013', '834', '833', '471', '371', '422', '728', '3820', '437']"
738,Tan - Very Light,236.0,204.0,158.0,eccc9e,"['676', '3855', '3822', '613', '3771', '3825', '437', '3046', '224', '3856']"
739,Tan - Ultra Very Light,248.0,228.0,200.0,f8e4c8,"['543', '677', '951', '353', '225', '967', '3774', '818', '948', '945']"
740,Tangerine,255.0,139.0,0.0,ff8b00,"['971', '970', '946', '972', '741', '922', '783', '720', '680', '900']"
741,Tangerine - Medium,255.0,163.0,43.0,ffa32b,"['972', '3853', '970', '725', '740', '721', '729', '3852', '742', '947']"
742,Tangerine - Light,255.0,191.0,87.0,ffbf57,"['726', '725', '3854', '3827', '728', '3820', '3821', '743', '402', '3853']"
743,Yellow - Medium,254.0,211.0,118.0,fed376,"['3821', '3827', '3855', '726', '744', '3822', '742', '3825', '3819', '3854']"
744,Yellow - Pale,255.0,231.0,147.0,ffe793,"['3822', '3855', '445', '745', '165', '727', '738', '743', '676', '472']"
745,Yellow - Light Pale,255.0,233.0,173.0,ffe9ad,"['727', '165', '3856', '945', '744', '3822', '739', '677', '3855', '951']"
746,Off White,252.0,252.0,238.0,fcfcee,"['712', '3865', '3866', 'White', '3823', '819', 'B5200', '3770', '3756', '762']"
747,Sky Blue - Very Light,229.0,252.0,253.0,e5fcfd,"['3756', '162', 'White', '3865', '775', '762', '3866', 'B5200', '746', '3072']"
754,Peach - Light,247.0,203.0,191.0,f7cbbf,"['3824', '3779', '945', '761', '3689', '950', '3856', '3716', '353', '605']"
758,Terra Cotta - Very Light,238.0,170.0,155.0,eeaa9b,"['3341', '152', '3688', '760', '3354', '352', '3771', '437', '224', '3825']"
760,Salmon,245.0,173.0,173.0,f5adad,"['3326', '957', '776', '224', '3688', '3771', '894', '3706', '3354', '758']"
761,Salmon - Light,255.0,201.0,201.0,ffc9c9,"['3779', '3824', '605', '3708', '3689', '754', '353', '3716', '945', '151']"
762,Pearl Gray - Very Light,236.0,236.0,236.0,ececec,"['3024', '3072', '3866', '3865', 'Ecru', '819', '162', '775', '928', '3753']"
772,Yellow Green - Very Light,228.0,236.0,212.0,e4ecd4,"['822', 'Ecru', '369', '543', '928', '3774', '677', '3024', '3072', '3033']"
775,Baby Blue - Very Light,217.0,235.0,241.0,d9ebf1,"['162', '3753', '3072', '928', '3841', '762', '828', '3024', '3747', '747']"
776,Pink - Medium,252.0,176.0,185.0,fcb0b9,"['894', '3706', '604', '3326', '957', '603', '3716', '760', '3689', '224']"
777,Red - Deep,145.0,53.0,70.0,913546,"['221', '3858', '355', '902', '315', '3721', '3803', '3802', '718', '3831']"
778,Antique Mauve - Very Light,223.0,179.0,187.0,dfb3bb,"['3727', '554', '224', '3688', '3354', '613', '3782', '760', '3608', '3771']"
779,Brown,98.0,75.0,69.0,624b45,"['839', '3781', '838', '3802', '3021', '3787', '413', '844', '3051', '610']"
780,Topaz - Ultra Very Dark,148.0,99.0,26.0,94631a,"['781', '975', '434', '920', '782', '400', '301', '869', '919', '632']"
